industry_type,total_direct_emissions,state_population,state_gdp_per_capita,state_policies_incentives,USDA_energy_invest_unit,USDA_energy_invest,renewables_percent
29,10.670624651853196,27914064,58033.62062,140,176,83600842.01,13.4
29,11.495442932172152,27914064,58033.62062,140,176,83600842.01,13.4
32,10.55453374392742,27914064,58033.62062,140,176,83600842.01,13.4
32,10.466381105582574,27914064,58033.62062,140,176,83600842.01,13.4
48,11.528972027470678,27914064,58033.62062,140,176,83600842.01,13.4
48,11.464607739184206,27914064,58033.62062,140,176,83600842.01,13.4
48,10.487795953061923,27914064,58033.62062,140,176,83600842.01,13.4
29,12.002730275432667,27914064,58033.62062,140,176,83600842.01,13.4
9,10.864019144742803,27914064,58033.62062,140,176,83600842.01,13.4
9,14.615501353646133,27914064,58033.62062,140,176,83600842.01,13.4
9,12.873756961431772,27914064,58033.62062,140,176,83600842.01,13.4
9,11.57707703625236,27914064,58033.62062,140,176,83600842.01,13.4
9,11.894215141393586,27914064,58033.62062,140,176,83600842.01,13.4
9,8.636544419038813,27914064,58033.62062,140,176,83600842.01,13.4
9,14.535584034098479,27914064,58033.62062,140,176,83600842.01,13.4
9,11.344441438427307,27914064,58033.62062,140,176,83600842.01,13.4
9,10.288159302736576,27914064,58033.62062,140,176,83600842.01,13.4
48,11.190023731138417,27914064,58033.62062,140,176,83600842.01,13.4
9,10.61630244933138,27914064,58033.62062,140,176,83600842.01,13.4
9,14.026174548073108,27914064,58033.62062,140,176,83600842.01,13.4
30,12.481971988461314,27914064,58033.62062,140,176,83600842.01,13.4
46,15.526892614358491,27914064,58033.62062,140,176,83600842.01,13.4
46,10.389705270124058,27914064,58033.62062,140,176,83600842.01,13.4
46,14.834637911874609,27914064,58033.62062,140,176,83600842.01,13.4
48,11.34860196704135,27914064,58033.62062,140,176,83600842.01,13.4
29,11.39778528389506,27914064,58033.62062,140,176,83600842.01,13.4
28,10.404501478638926,27914064,58033.62062,140,176,83600842.01,13.4
32,10.938614170069982,27914064,58033.62062,140,176,83600842.01,13.4
9,10.787188313615545,27914064,58033.62062,140,176,83600842.01,13.4
46,14.554276351017341,27914064,58033.62062,140,176,83600842.01,13.4
32,12.247910162632778,27914064,58033.62062,140,176,83600842.01,13.4
29,11.390578944940367,27914064,58033.62062,140,176,83600842.01,13.4
29,11.57639610362421,27914064,58033.62062,140,176,83600842.01,13.4
29,10.655334350338352,27914064,58033.62062,140,176,83600842.01,13.4
28,11.059687573984732,27914064,58033.62062,140,176,83600842.01,13.4
