,Facility Id,2020 Total reported emissions from Onshore Oil & Gas Production ,2019 Total reported emissions from Onshore Oil & Gas Production ,2018 Total reported emissions from Onshore Oil & Gas Production ,2017 Total reported emissions from Onshore Oil & Gas Production ,2016 Total reported emissions from Onshore Oil & Gas Production ,2015 Total reported emissions from Onshore Oil & Gas Production ,2014 Total reported emissions from Onshore Oil & Gas Production ,2013 Total reported emissions from Onshore Oil & Gas Production ,2012 Total reported emissions from Onshore Oil & Gas Production ,2011 Total reported emissions from Onshore Oil & Gas Production 
808,1009783,60573.756,81359.458,92475.95,100834.338,89805.656,157013.49,59089.858,16195.518,47638.464,29501.206
815,1009197,1027285.484,2172582.68,3149794.598,1504564.708,1160038.402,2183686.088,1929965.77,665304.254,439895.688,381316.374
824,1010190,1054274.118,1455154.246,880102.024,556413.444,506775.722,1163253.778,928383.692,143682.83,192452.516,210628.384
825,1009607,77322.062,107508.458,55461.484,88220.386,26056.512,44607.59,40693.898,22485.514,36318.164,28698.338
828,1008116,167508.1138,129033.4007,97371.2278,74264.9713,106965.1235,125164.538,139120.252,134289.628,74065.376,105435.822
829,1009386,110555.2568,71938.3855,84756.8395,76572.6986,76538.082,187958.826,227679.172,165689.684,491548.52,640414.5
830,1009082,41798.2048,45063.6201,48690.0394,60131.4386,61469.748,78701.642,52247.272,90514.584,84360.758,98879.168
831,1008079,432115.5153,536691.4742,634383.9404,662541.6704,707212.2456,894089.532,896841.292,1111721.768,727727.868,498268.4
832,1009392,121835.6422,276930.5079,345534.1059,495764.008,547351.612,641131.492,606415.972,631387.616,829779.076,694491.178
833,1008616,135329.8748,140910.8722,157707.7145,130185.0418,151274.3157,238045.98,197630.424,152098.064,123623.228,64507.13
834,1009143,85082.3248,97015.5825,80890.3067,105683.52,99132.4697,106550.586,108804.23,250025.958,189138.876,146691.978
835,1008275,696920.5961,1770529.68,1048459.5693,759815.2132,897826.81,1113420.68,1106020.808,565682.646,434763.302,100287.562
836,1009387,508575.4928,532822.7534,550478.7922,368705.9262,299317.814,458065.976,475712.38,538068.374,466198.708,243355.964
837,1009388,78347.1629,77934.4363,78434.9192,52289.4046,50198.5748,65402.076,74580.174,83541.102,66927.69,53484.864
838,1009390,726425.0784,1990272.2241,1632900.1024,647170.1003,485280.729,544433.098,335163.146,262364.68,276265.484,132785.162
839,1008078,48260.8539,54398.8657,54131.7456,56806.5062,58233.992,60247.942,66978.232,71244.974,43612.148,35205.45
