,Facility Id,Primary NAICS Code,Latest Reported Industry Type (sectors),2020 Total reported direct emissions,2019 Total reported direct emissions,2018 Total reported direct emissions,2017 Total reported direct emissions,2016 Total reported direct emissions,2015 Total reported direct emissions,2014 Total reported direct emissions,2013 Total reported direct emissions,2012 Total reported direct emissions,2011 Total reported direct emissions
4199,1000607,311411,Other,28419.492,36113.864,35338.016,35861.764,37211.86,36801.212,38810.004,39841.0,39713.5,41324.04
4200,1000609,311411,Other,40661.554,38892.256,22131.216,35739.016,34171.472,32552.028,35903.364,29492.688,31914.88,30587.284
4201,1000611,311411,Other,38996.204,46270.276,43647.636,50961.008,42187.692,48162.368,47241.172,49844.012,48326.268,48297.468
4202,1000606,311411,"Other,Waste",76116.076,74410.278,77822.378,69440.49,69195.228,74855.618,72545.926,68035.392,69682.988,67171.194
4203,1005651,311411,Other,37611.408,40874.296,37817.608,37750.408,46225.576,51614.056,46724.124,47984.02,46751.924,46751.298
4204,1000610,311411,"Other,Waste",35204.736,39588.098,40924.068,47084.276,41481.538,38234.596,37679.08,37185.448,36856.64,37491.496
4205,1003319,211130,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",53745.944,51137.212,55315.148,53576.166,48979.364,53298.618,47115.024,45019.94,48594.042,49143.818
4206,1007841,562212,Waste,21354.65,25692.2,26280.2,22709.2,22601.95,46314.7,56546.45,33682.842,29976.062302,25616.303
4207,1002391,562212,Waste,26371.9,34547.65,30594.9,37192.7,53933.15,35162.7,36476.85,42696.6,71314.1,67982.0
4210,1008115,562212,Waste,7718.25,4900.0,7729.0,15012.5,13940.0,189918.5,165871.25,153134.0,191686.25,166467.25
4211,1003593,311514,Other,42181.192,39759.5,38323.656,35481.216,41939.992,40983.396,37006.06,31219.332,29016.14,28176.044
4212,1002874,311514,Other,62881.764,56992.136,59291.476,58759.628,55272.192,53209.1,55820.54,63609.86,66321.3,68954.54
4213,1004679,562212,Waste,77224.25,271963.5,181556.25,132923.75,115122.0,83093.75,57748.75,49566.75,4329.25,4002.25
4214,1002090,562212,Waste,26661.35,18808.65,23186.25,27173.5,25273.8,19967.55,21679.8,21061.2,21014.1,31310.498
4215,1004887,562212,Waste,80797.25,78222.5,76444.25,74144.25,71940.5,70530.0,69855.75,75027.0,64341.25,62188.75
4216,1006749,562212,Waste,72264.35,71167.45,69939.55,68920.45,67815.65,66606.8,78814.75,77651.0,75551.75,73453.5
4217,1004234,325194,Chemicals,188323.988,174256.752,134910.1,162552.952,144095.536,142710.636,138581.004,155067.52,168892.488,151126.164
4218,1006968,325998,Chemicals,56048.552,75430.442,44104.754,49015.916,61486.268,38500.812,52402.186,59719.526,46192.69,47816.576
