,Facility Id,Facility Name,State,Latitude,Longitude,Primary NAICS Code,Industry Type (sectors),CO2 emissions (non-biogenic) 
3680,1000904,MORNING STAR PACKING CO (Williams),CA,39.1264,-122.1251,311421,Other,115780.1
3681,1002464,MORRIS FARM LANDFILL,AL,34.703571,-87.201836,562212,Waste,10.2
3682,1004060,MORRISON COUNTY LANDFILL,MN,45.93146,-94.351997,562212,Waste,6.1
3683,1001663,MORTON SALT,MI,44.24073,-86.31005,311942,Other,96722.1
3684,1002333,"MORTON SALT, INC.",NY,42.657389,-78.076111,311942,Other,53162.2
3685,1002203,"MORTON SALT, INC.",OH,40.976821,-81.775437,325998,Chemicals,80264.0
3686,1003453,MOST INC,MO,38.962791,-90.971733,331314,Metals,26594.1
3687,1007458,MOTIVA ENTERPRISES LLC,TX,29.883333,-93.958333,324110,"Petroleum Product Suppliers,Refineries",4869640.9
3688,1004084,MOUNT CARBERRY LANDFILL,NH,44.4571,-71.1483,562212,Waste,16.6
3689,1006489,MOUNT SINAI HOSPITAL,NY,40.78921,-73.95482,622110,Other,48208.9
3690,1001757,MOUNT VERNON MILLS INC APPAREL FABRICS DIV,GA,34.5477,-85.3112,313210,Other,44360.7
3691,1005978,MOUNTAIN CEMENT CO,WY,41.26109,-105.60319,327310,Minerals,500059.0
3692,1001563,MOUNTAIN STATE CARBON,WV,40.34361,-80.60667,324199,Metals,235557.7
3693,1007611,MOUNTAINVIEW SANITARY LANDFILL,MD,39.607222,-78.921944,562212,Waste,0.7
3694,1013040,MP 153 B (Complex ID # 20341),LA,29.117396,-88.844508,211120,Petroleum and Natural Gas Systems,4296.1
3695,1002675,MP 252 A/B,AL,29.360893,-87.885833,211120,Petroleum and Natural Gas Systems,10065.0
3696,1012405,MP 289 C (Complex ID # 23494),LA,29.248498,-88.441404,211120,Petroleum and Natural Gas Systems,3688.7
3697,1011642,MP 296 B (Complex ID # 22749),LA,29.233588,-88.664945,211120,Petroleum and Natural Gas Systems,3575.6
3698,1013057,MP 310 A (Complex ID # 23083),LA,29.187455,-88.683422,211120,Petroleum and Natural Gas Systems,10550.1
3699,1011599,MP 311 B (Complex ID # 22523),LA,29.1834,-88.736894,211120,Petroleum and Natural Gas Systems,7672.5
3700,1010550,MP Mine Operations LLC,CA,35.47129,-115.52864,212299,Other,5902.3
3701,1003940,MPM SILICONES LLC,WV,39.491598,-81.068842,325199,Chemicals,33200.7
3702,1000062,MT JEWETT COMPLEX,PA,41.7,-78.48,321219,Other,34301.1
3705,1007751,MUSKEGON COUNTY SOLID WASTE FACILITY,MI,43.235238,-86.01343,562212,Waste,25.2
3709,1000351,"MW/MB, LLC",TN,36.59803,-87.26594,327212,Minerals,27575.1
3710,1012017,Macheche Combustion Turbine,GU,13.51077,144.826955,221112,Power Plants,45672.2
3711,1011677,Macksville Compressor Station,KS,38.0728428,-98.9680427999999,486210,Petroleum and Natural Gas Systems,34821.1
3714,1012015,Macon LNG,GA,32.896329,-83.51389,221210,"Other,Petroleum and Natural Gas Systems",18640.8
3715,1003774,"Mad Dog. MMS Platform ID 02481, Complex ID 1215-1",LA,27.1886444444,-90.2687475,211120,Petroleum and Natural Gas Systems,98453.2
3716,1000753,Maddox,NM,32.7131,-103.31,221112,Power Plants,433494.3
3717,1005489,Madill Plant,OK,34.08406,-96.58888,211130,Petroleum and Natural Gas Systems,27238.6
3718,1001318,Madison Generating Station,OH,39.4522,-84.465,221112,Power Plants,219107.0
3719,1010145,MagRetech LLC,OH,41.28298,-82.88773,331492,Metals,3163.925
3720,1001325,Magic Valley Generating Station,TX,26.3403,-98.19,221112,Power Plants,1240698.8
3721,1000185,Magnet Cove Generating Station,AR,34.4304,-92.8333,221112,Power Plants,656592.9
3722,1005534,Magnitude 7 Metals LLC,MO,36.510698,-89.564834,331313,Metals,323191.0
3723,1000457,Magnolia,CA,34.1788,-118.3153,221112,Power Plants,541375.2
3724,1003483,Magnolia Amine Plant,LA,32.267848,-93.298611,213112,Petroleum and Natural Gas Systems,311011.8
3725,1000821,Magnolia Facility,MS,34.8358,-89.2017,221112,Power Plants,2145991.2
3726,1012494,"Magnolia LNG, LLC",LA,30.10391,-93.301505,221210,Petroleum and Natural Gas Systems,0.0
3727,1003357,Magnolia Landfill,LA,32.478456,-91.991875,562212,Waste,176.0
3728,1008279,Main Pass 300 B,LA,29.1549,-88.4654,211130,Petroleum and Natural Gas Systems,28417.3
3729,1008281,Main Pass 41 B O BB,LA,29.3999,-88.9697,211130,Petroleum and Natural Gas Systems,32031.6
3730,1008282,Main Pass 42 D L M,LA,29.4007,-89.0349,211130,Petroleum and Natural Gas Systems,27820.8
3731,1010147,Main Pass 61B Platform,LA,29.2976,-88.9205,211120,Petroleum and Natural Gas Systems,8769.3
3732,1007422,Maine Independence Station,ME,44.8236,-68.7106,221112,Power Plants,78128.5
3733,1006918,Mainline Compressor Station,LA,32.410321,-92.981498,486210,Petroleum and Natural Gas Systems,13302.5
3734,1008826,Majorsville Gas Plant,WV,39.96334,-80.51943,211130,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",139350.6
3735,1013689,Makena Gas Plant,CO,40.630148,-104.260187,237120,Petroleum and Natural Gas Systems,37280.3
3736,1000458,"Malaga Power, LLC",CA,36.6894,-119.7399,926130,Power Plants,7192.4
3737,1007318,Malburg Generating Station,CA,33.9983,-118.2219,221112,Power Plants,274114.9
3738,1008432,Maljamar Gas Plant,NM,32.813792,-103.771877,211130,"Injection of CO2,Petroleum and Natural Gas Systems",47244.46231655289
3739,1002451,Mallet CO2 Recovery Plant,TX,33.46028,-102.56333,211120,Petroleum and Natural Gas Systems,68565.7
3740,1000440,Malteurop North America Inc,WI,43.00472,-87.96155,311213,Other,8580.3
3741,1000441,Malteurop North America Inc,MT,47.535981,-111.412452,311213,Other,27273.2
3742,1007255,Manatee,FL,27.6058,-82.3456,221112,Power Plants,4037225.0
3743,1000905,Manchester Street,RI,41.8167,-71.4042,221112,Power Plants,731505.4
