Fac_ID,Fac_Name,State,Latitude,Longitude,NAICS,Sector,Total_Emissions,CO2_Emissions
1003554,Texas Gas Transmission - Bastrop Station,LA,32.96029,-91.85395,486210,Petroleum and Natural Gas Systems,65432.3,65364.9
1007368,Texas Gas Transmission - Isola Station,MS,33.234785,-90.620417,486210,Petroleum and Natural Gas Systems,45432.73,45385.6
1003596,Texas Gas Transmission - Jeffersontown Station,KY,38.21679,-85.56544,486210,Petroleum and Natural Gas Systems,30310.14,30278.9
1003776,Texas Gas Transmission - Kenton Station,TN,36.2379,-89.0298,486210,Petroleum and Natural Gas Systems,52187.0,52133.3
1003915,Texas Gas Transmission - Lake Cormorant Station,MS,34.899192,-90.166389,486210,Petroleum and Natural Gas Systems,56243.89,56185.8
1003916,Texas Gas Transmission - Sharon Station,LA,32.76609,-92.76677,486210,Petroleum and Natural Gas Systems,28838.39,28808.8
1003917,Texas Gas Transmission - Slaughters Station,KY,37.506667,-87.5,486210,Petroleum and Natural Gas Systems,52558.45,52504.2
1003720,Texas Gas Transmission - Youngsville Station,LA,30.08741,-92.02953,486210,Petroleum and Natural Gas Systems,25127.26,25101.5
1002395,Texas Lime Company,TX,32.246389,-97.550828,327410,Minerals,443962.19,442566.3
1001973,Textron Aviation/Beechcraft Division,KS,37.6944,-97.2236,336411,Other,31625.88,31593.0
1000027,The Children\s Hospital of Philadelphia,PA,39.94776,-75.19391,622110,Other,27515.78,27484.9
1001826,The Dow Chemical Company,MI,43.6025,-84.2404,325199,Chemicals,49346.09,49089.5
1004314,The Dow Chemical Company -- Louisiana Operations,LA,30.320903,-91.239015,325199,Chemicals,3200191.4,3192699.9
1003847,"The Goodyear Tire & Rubber Co, Inc",NC,35.17187,-78.86062,326211,Other,49651.66,49350.9
1000306,The Johns Hopkins Hospital,MD,39.296237,-76.592889,622110,Other,69133.18,69060.5
1003497,The Matt Brewery Company,NY,43.10343,-75.24414,312120,"Other,Suppliers of CO2",4102.48,4098.1
1000396,The Ohio State University,OH,40.0008,-83.0158,611310,Other,158144.34,157978.7
1007553,"The President & Fellows of Harvard College, Cambridge/Allston Campus",MA,42.36429,-71.1148,611310,Other,15260.68,15242.8
1000656,The President and Fellows of Harvard University (Cambridge Allston Blackstone),MA,42.3636,-71.1161,611310,Other,78886.26,78796.0
1000234,The University of NC Chapel Hill,NC,35.9069,-79.0617,611310,Other,296600.31,295300.0
1000842,The University of Texas Southwestern Medical Center at Dallas,TX,32.812656,-96.842743,611310,Other,57334.58,57274.5
1007142,The University of Toledo Health Science Campus,OH,41.62121,-83.61621,611610,Other,25839.85,25639.1
1001121,The University of Toledo Main Campus,OH,41.66314,-83.61006,611310,Other,20153.72,20132.9
1001140,Theodore Cogeneration,AL,30.5248,-88.1289,221112,Power Plants,798649.49,797837.9
1005902,Thermo Greeley,CO,40.44131,-104.68716,221112,Power Plants,63999.01,63932.7
1003334,Thermo Power & Electric LLC,CO,40.41011,-104.684446,221112,Power Plants,56101.59,56043.5
1000801,Thomas A. Smith Energy Facility,GA,34.7094,-84.9182,221112,Power Plants,1106144.22,1105082.2
1005151,Thomas Compressor Station,PA,41.72503,-76.806397,211111,Petroleum and Natural Gas Systems,48307.97,48258.1
1001433,Thomas Fitzhugh,AR,35.4617,-93.8053,221112,Power Plants,44597.39,44554.1
1000716,Thomas Hill Energy Center,MO,39.5531,-92.6392,221112,Power Plants,7759915.36,7699143.7
1004704,Thompsonville Gas Plant,TX,27.257436,-98.936989,211111,Petroleum and Natural Gas Systems,96504.24,96404.5
1007796,Three Corners Landfill,AL,33.995349,-85.729655,562212,Waste,43924.85,2064.69
1005066,Thums Long Beach Company,CA,33.76715,-118.19327,211111,Petroleum and Natural Gas Systems,191002.58,190805.3
1003848,Thunder Creek Gas Services Buckshot Gas Plant,WY,42.788059,-105.613954,213112,Petroleum and Natural Gas Systems,41439.74,41397.0
